"Address","Tags"
"Республика Мордовия, Район Инсарский Город Инсар Улица Советская д. 19а","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Чамзинский Село Киржеманы Улица Подлесная д.","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type']"
"Республика Мордовия, Район Дубенский Село Красино Улица Молодежная д. 5 кв. я","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address', 'not_address']"
"Республика Мордовия, г Саранск, ул Рабочая, д. 163","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Т.Бибиной, д. 1/5","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Краснослободский Город Краснослободск Улица Литвиновская д. 56 влад. а","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address', 'not_address']"
"Республика Мордовия, Район Старошайговский Село Старая Теризморга Улица Центральная д. 54","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Рузаевка Улица Рабочая д. 29А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Россия, Республика Мордовия, Саранск, улица Васенко, д. 24","['country', 'subject_type', 'subject_name', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Саранск д. 57","['subject_type', 'subject_name', 'city_type', 'city_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Дубенский Село Петровка Улица Кирова д. 17","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Л.Толстого, д. 4А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Рузаевка, ул Маяковского, д. 173","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Пролетарская, д. 21","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Зубово-Полянский Село Покассы Улица Заречная д. 12","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Севастопольская, д. 9","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Рабочий Поселок Атяшево, ул Ленина, д. 126","['subject_type', 'subject_name', 'settlement_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Октябрьский р-н, г Саранск, ул Пуркаева, д. 79","['subject_type', 'subject_name', 'area_name', 'area_type', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Евсевьева, д. 1а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Поселок и(при) станция(и) Ардатов Улица Центральная д. 88","['subject_type', 'subject_name', 'area_type', 'area_name', 'not_address', 'not_address', 'not_address', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Город Ардатов Переулок Калинина д. 23","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Федосеенко, д. ГК &quot;Стратонавт&quot;","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'not_address', 'not_address', 'not_address']"
"Республика Мордовия Город Саранск Улица Ульянова д. 24В","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Саранск Улица Гожувская д. 44","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Зубово-Полянский Поселок Парца Явасское с/п) Улица Лесная д. 11","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'subarea_name', 'subarea_type', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Саранск р-н, г Саранск, ш Александровское, д. 26","['subject_type', 'subject_name', 'area_name', 'area_type', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Веселовского, д. 62В","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, р-н. Темниковский, с. Пурдошки, ул. Интернациональная, д. 31","['subject_name', 'subject_type', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Дубенский Село Поводимово Улица Ленина д. 157","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, п Озерный, снт СНТ Озерное, д. 1","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'not_address', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Атюрьевский Село Атюрьево Улица Новая д. 16 к.","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address']"
"Республика Мордовия, Район Ромодановский Село Пушкино д. 14","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Инсарский Село Шадымо-Рыскино Улица Ленина д. 1","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Краснослободский Село Русское Маскино Улица Троицк д. 31","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, р-н. Кочкуровский, с. Кочкурово, ул. им В.Д.Калядина, д. 33А","['subject_name', 'subject_type', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Коваленко, д. 8Б","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Солнечная, д. 3","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, р-н. Зубово-Полянский, рп. Зубова Поляна, пер. Кооперативный, д. 11","['subject_name', 'subject_type', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 50 лет Октября, д. 24","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
